__run_id,__done,algorithm,library,dataset,process,accuracy,f1_score,r2,runtime_s,cpu_user_s,cpu_system_s,memory_delta_mb,energy_j,estimated_CO2_kg,
linear_statsmodels_small_inference_rep11,DONE,linear,statsmodels,small,inference,nan,nan,0.0096459506580489,0.634,0.0029100830000000004,0.003224375,19.125,1.560458329772949,,2.461290740966797
linear_sklearn_large_training_rep11,DONE,linear,sklearn,large,training,,,,1.042,0.0032965000000000004,0.0038014170000000014,19.28125,2.5972747535705563,,2.4925861358642574
linear_sklearn_large_inference_rep11,DONE,linear,sklearn,large,inference,nan,nan,0.6725440184152253,0.843,0.0030332090000000003,0.003496457999999999,19.453125,1.977507057189941,,2.345797220865885
logistic_sklearn_medium_training_rep11,DONE,logistic,sklearn,medium,training,,,,0.843,0.006334917,0.007462375,18.734375,2.038600363731384,,2.41826852162679
logistic_sklearn_medium_inference_rep11,DONE,logistic,sklearn,medium,inference,0.97808,0.9672969297887078,nan,0.626,0.00224975,0.0026119589999999996,19.296875,1.3703526473999024,,2.189061737060547
linear_statsmodels_large_training_rep11,DONE,linear,statsmodels,large,training,,,,1.261,0.002411458,0.002888875,19.015625,3.1460241640210156,,2.4948645234107976
linear_statsmodels_large_inference_rep11,DONE,linear,statsmodels,large,inference,nan,nan,0.6725440184152305,1.043,0.006419541,0.007488542000000001,18.546875,2.4702480862140654,,2.3684066023145403
linear_statsmodels_large_training_rep12,DONE,linear,statsmodels,large,training,,,,1.261,0.002402792,0.0028080000000000006,18.0,3.037219236195088,,2.4085798859596257
linear_statsmodels_large_inference_rep12,DONE,linear,statsmodels,large,inference,nan,nan,0.6725440184152305,1.053,0.0072197500000000005,0.008228666999999999,18.4375,2.5315985798835756,,2.4041771888732915
logistic_statsmodels_medium_training_rep12,DONE,logistic,statsmodels,medium,training,,,,1.051,0.0036197919999999997,0.004250334,18.75,2.9941565044948035,,2.8488644191196992
logistic_statsmodels_medium_inference_rep12,DONE,logistic,statsmodels,medium,inference,0.97808,0.9672969297887078,nan,0.834,0.006819375,0.007846375,18.359375,2.0501149206161497,,2.4581713676452637
